ACT	Morningroom
house	house
CHASUBLE	Chasuble
These	These
are	are
very	very
joyful	joyful
tidings	tidings
MISS	Miss
PRISM	Prism
After	After
we	we
had	had
all	all
been	been
resigned	resigned
to	to
his	his
loss	loss
his	his
sudden	sudden
return	return
seems	seems
to	to
me	me
peculiarly	peculiarly
distressing	distressing
JACK	Jack
My	My
brother	brother
is	is
in	in
the	the
dining—room	diningroom
I	I
don’t	dont
know	know
what	what
it	it
all	all
means	means
I	I
think	think
it	it
is	is
perfectly	perfectly
absurd	absurd
Enter	Enter
ALGERNON	Algernon
and	and
CECILY	Cecily
hand	hand
in	in
hand	hand
They	They
come	come
slowly	slowly
up	up
to	to
JACK	Jack
Good	Jack
heavens	Good
M	heavens
otions	Motions
ALGERNON	Algernon
away	away
ALGERNON	Algernon
Brother	Brother
John	John
I	I
have	have
come	come
down	down
from	from
town	town
to	to
tell	tell
you	you
that	that
I	I
am	am
very	very
sorry	sorry
for	for
all	all
the	the
trouble	trouble
I	I
have	have
given	given
you	you
and	and
that	that
I	I
intend	intend
to	to
lead	lead
a	a
better	better
life	life
in	in
the	the
future	future
JACK	Jack
glares	glares
at	at
him	him
and	and
does	does
not	not
take	take
his	his
hand	hand
CECILY	Cecily
Uncle	Uncle
Jack	Jack
you	you
are	are
not	not
going	going
to	to
refuse	refuse
your	your
own	own
brother’s	brothers
hand	hand
JACK	Jack
Nothing	Nothing
will	will
induce	induce
me	me
to	to
take	take
his	his
hand	hand
I	I
think	think
his	his
Coming	coming
down	down
here	here
disgraceful	disgraceful
He	He
knows	knows
perfectly	perfectly
well	well
why	why
THE	Cecily
IMPURMNCE	null
OF	null
BEING	null
EARNEST	null
63	null
CECILY	null
Uncle	Uncle
Jack	Jack
do	do
be	be
nice	nice
There	There
is	is
some	some
good	good
in	in
every	every
one	one
Ernest	Ernest
has	has
just	just
been	been
telling	telling
me	me
about	about
his	his
poor	poor
invalid	invalid
friend	friend
Mr	Mr
Bunbury	Bunbury
whom	whom
he	he
goes	goes
to	to
visit	visit
so	so
often	often
And	And
surely	surely
there	there
must	must
be	be
much	much
good	good
in	in
one	one
who	who
is	is
kind	kind
to	to
an	an
invalid	invalid
and	and
leaves	leaves
the	the
pleasures	pleasures
of	of
London	London
to	to
sit	sit
by	by
a	a
bed	bed
of	of
pain	pain
JACK	Jack
Oh	Oh
he	he
has	has
been	been
talking	talking
about	about
Bunbury	Bunbury
has	has
he	he
CECILY	Cecily
Yes	Yes
he	he
has	has
told	told
me	me
all	all
about	about
poor	poor
Mr	Mr
Bunbury	Bunbury
and	and
his	his
terrible	terrible
state	state
of	of
health	health
JACK	Jack
Bunbury	Bunbury
Well	Well
I	I
won’t	wont
have	have
him	him
talk	talk
to	to
you	you
about	about
Bunbury	Bunbury
or	or
about	about
anything	anything
else	else
It	It
is	is
enough	enough
to	to
drive	drive
one	one
perfectly	perfectly
frantic	frantic
ALGERNON	Algernon
Of	Of
course	course
I	I
admit	admit
that	that
the	the
faults	faults
were	were
all	all
on	on
my	my
side	side
But	But
I	I
must	must
say	say
that	that
I	I
think	think
that	that
brother	Brother
John’s	Johns
coldness	coldness
to	to
me	me
is	is
peculiarly	peculiarly
painful	painful
I	I
ex—	expected
pected	null
a	a
more	more
enthusiastic	enthusiastic
welcome	welcome
especially	especially
considering	considering
it	it
is	is
the	the
ﬁrst	first
time	time
I	I
have	have
come	come
here	here
CECILY	Cecily
Uncle	Uncle
Jack	Jack
if	if
you	you
don’t	dont
shake	shake
hands	hands
with	with
Ernest	Ernest
I	I
will	will
never	never
forgive	forgive
you	you
JACK	Jack
Never	Never
forgive	forgive
me	me
I	Cecily
CECILY	null
Never	Never
never	never
never	never
64	Jack
THE	null
IMPORTANCE	null
OF	null
BEING‘EARNEST	null
JACK	null
Well	Well
this	this
is	is
the	the
last	last
time	time
I	I
shall	shall
ever	ever
do	do
it	it
Shakes	Shakes
hands	null
with	with
ALGERNON	Algernon
and	and
glares	glares
CHASUBLE	Chasuble
It’s	Its
pleasant	pleasant
is	is
it	it
not	not
to	to
see	see
so	so
perfect	perfect
a	a
reconciliation	reconciliation
I	I
think	think
we	we
might	might
leave	leave
the	the
two	two
brothers	brothers
together	together
MISS	Miss
PRISM	Prism
Cecily	Cecily
you	you
will	will
come	come
with	with
us	us
CECILY	Cecily
Certainly	Certainly
Miss	Miss
Prism	Prism
My	My
little	little
task	task
of	of
reconciliation	reconciliation
is	is
over	over
CHASUBLE	Chasuble
You	You
have	have
done	done
a	a
beautiful	beautiful
action	action
today	today
dear	dear
child	child
‘	Miss
MIss	Prism
PRISM	null
We	We
must	must
not	not
be	be
premature	premature
in	in
our	our
judgments	judgments
CECILY	Cecily
I	I
feel	feel
very	very
happy	happy
They	They
all	all
go	go
019“	off
JACK	except
null	Jack
null	and
null	Algernon
null	Jack
You	You
young	young
scoundrel	scoundrel
Algy	Algy
you	you
must	must
get	get
out	out
of	of
this	this
place	place
as	as
soon	soon
as	as
possible	possible
I	I
don’t	dont
allow	allow
any	any
Bunburying	Bunburying
here	here
‘	null
Enter	Enter
MERRIMAN	Merriman
MERRIMAN	Merriman
I	I
have	have
put	put
Mr	Mr
Ernest’s	Ernests
things	things
in	in
the	the
room	room
next	next
to	to
yours	yours
sir	sir
I	I
suppose	suppose
that	that
is	is
all	all
right	right
THE	Jack
IMPORTANCEOF	null
BEING	null
EARNEST	null
O5	null
JACK	null
What	What
P	Merriman
MERRIMAN	null
Mr	Mr
Ernest’s	Ernests
luggage	luggage
sir	sir
I	I
have	have
unpacked	unpacked
it	it
and	and
put	put
it	it
in	in
the	the
room	room
next	next
to	to
your	your
own	own
JACK	Jack
His	His
luggage	luggage
MERRIMAN	Merriman
Yes	Yes
sir	sir
Three	Three
portmanteaus	portmanteaus
a	a
dressingcase	dressingcase
two	two
hatboxes	hatboxes
and	and
a	a
large	large
luncheonbasket	luncheonbasket
ALGERNON	Algernon
I	I
am	am
afraid	afraid
I	I
can’t	cant
stay	stay
more	more
than	than
a	a
week	week
this	this
time	time
JACK	Jack
Merriman	Merriman
order	order
the	the
dogcart	dogcart
at	at
once	once
Mr	Mr
Ernest	Ernest
has	has
been	been
suddenly	suddenly
called	called
back	back
to	to
town	town
MERRIMAN	Merriman
Yes	Yes
sir	sir
Goes	Goes
back	back
into	into
the	the
house	house
ALGERNON	Algernon
What	What
a	a
fearful	fearful
liar	liar
you	you
are	are
Jack	Jack
I	I
have	have
not	not
I	null
been	been
called	called
back	back
to	to
town	town
at	at
all	all
JACK	Jack
Yes	Yes
you	you
have	have
I	Algernon
ALGERNON	null
I	I
haven’t	havent
heard	heard
any	any
one	one
call	call
me	me
I	Jack
JACK	null
Your	Your
duty	duty
as	as
a	a
gentleman	gentleman
calls	calls
you	you
back	back
65	Algernon
THE	null
IMPORTANCE	null
OF	null
BEING	null
EEKNEgr	null
ALGERNON	null
My	My
duty	duty
as	as
a	a
gentleman	gentleman
has	has
never	never
interfered	interfered
with	with
my	my
pleasures	pleasures
in	in
the	the
smallest	smallest
degree	degree
JACK	Jack
I	I
can	can
quite	quite
understand	understand
that	that
ALGERNON	Algernon
Well	Well
Cecily	Cecily
is	is
a	a
darling	darling
JACK	Jack
You	You
are	are
not	not
to	to
talk	talk
of	of
Miss	Miss
Cardew	Cardew
like	like
that	that
I	I
don’t	dont
like	like
it	it
ALGERNON	Algernon
Well	Well
I	I
don’t	dont
like	like
your	your
clothes	clothes
You	You
look	look
per	perfectly
fectly	null
ridiculous	ridiculous
in	in
them	them
Why	Why
on	on
earth	earth
don’t	dont
you	you
go	go
up	up
and	and
change	change
It	It
is	is
perfectly	perfectly
childish	childish
to	to
be	be
in	in
deep	deep
mourning	mourning
for	for
aman	a
null	man
who	who
is	is
actually	actually
staying	staying
for	for
a	a
whole	whole
week	week
with	with
you	you
in	in
your	your
house	house
as	as
a	a
guest	guest
null	I
call	call
it	it
grotesque	grotesque
JACK	Jack
You	You
are	are
certainly	certainly
not	not
staying	staying
with	with
me	me
for	for
a	a
whole	whole
week	week
as	as
a	a
guest	guest
or	or
anything	anything
else	else
You	You
have	have
got	got
to	to
leave	leave
by	by
the	the
four—ﬁve	fourfive
train	train
r	Algernon
ALGERNON	null
I	I
certainly	certainly
won’t	wont
leave	leave
you	you
so	so
long	long
as	as
you	you
are	are
in	in
mourning	mourning
It	It
would	would
be	be
most	most
unfriendly	unfriendly
If	If
I	I
were	were
in	in
mourning	mourning
you	you
would	would
stay	stay
with	with
me	me
I	I
suppose	suppose
I	I
should	should
think	think
it	it
very	very
unkind	unkind
if	if
you	you
didn’t	didnt
‘	Jack
JACK	null
Well	Well
will	will
you	you
go	go
if	if
I	I
change	change
my	my
clothes	clothes
THE	Algernon
IMPORTANCE	null
OF	null
BEING	null
EARNESTV	null
67	null
ALGERNON	null
Yes	Yes
if	if
you	you
are	are
not	not
too	too
long	long
I	I
never	never
saw	saw
any	anybody
body	null
take	take
so	so
long	long
to	to
dress	dress
and	and
with	with
such	such
little	little
result	result
JACK	Jack
Well	Well
at	at
any	any
rate	rate
that	that
is	is
better	better
than	than
being	being
always	always
over—dressed	overdressed
as	as
you	you
are	are
ALGERNON	Algernon
If	If
I	I
am	am
occasionally	occasionally
a	a
little	little
Overdressed	overdressed
I	I
make	make
up	up
for	for
it	it
by	by
being	being
always	always
immensely	immensely
overeducated	overeducated
JACK	Jack
Your	Your
vanity	vanity
is	is
ridiculous	ridiculous
your	your
conduct	conduct
an	an
outrage	outrage
and	and
your	your
presence	presence
in	in
my	my
garden	garden
utterly	utterly
absurd	absurd
However	However
you	you
have	have
got	got
to	to
catch	catch
the	the
four—ﬁve	fourfive
and	and
I	I
hope	hope
you	you
will	will
have	have
a	a
pleasant	pleasant
journey	journey
back	back
to	to
town	town
This	This
Bunburying	Bunburying
as	as
you	you
call	call
it	it
has	has
not	not
been	been
a	a
great	great
success	success
for	for
you	you
Goes	Goes
into	into
the	the
house	house
ALGERNON	Algernon
I	I
think	think
it	it
has	has
been	been
a	a
great	great
success	success
I’m	Im
in	in
love	love
with	with
Cecily	Cecily
and	and
that	that
is	is
everything	everything
Enter	Enter
CECILY	Cecily
at	at
the	the
back	back
of	of
the	the
garden	garden
She	She
picks	picks
up	up
the	the
can	can
and	and
begins	begins
to	to
water	water
the	the
ﬂowers	flowers
But	But
I	I
must	must
see	see
her	her
before	before
I	I
go	go
and	and
make	make
arrangements	arrangements
for	for
another	another
Bunbury	Bunbury
Ah	Ah
there	there
she	she
is	is
CECILY	Cecily
Oh	Oh
I	I
merely	merely
came	came
back	back
to	to
water	water
the	the
roses	roses
I	I
thought	thought
yOu	you
were	were
with	with
Uncle	Uncle
Jack	Jack
I	Algernon
ALGERNON	null
Hes	Hes
gone	gone
to	to
order	order
the	the
dogcart	dogcart
for	for
me	me
63	Cecily
THE	null
IMPORTANCE	null
OF	null
BEING‘EARNEST	null
CECILY	null
Oh	Oh
is	is
he	he
going	going
to	to
take	take
you	you
for	for
a	a
nice	nice
drive	drive
ALGERNON	Algernon
He’s	Hes
going	going
to	to
send	send
me	me
away	away
CEciLY	Cecily
Then	Then
have	have
we	we
got	got
to	to
part	part
ALGERNON	Algernon
I	I
am	am
afraid	afraid
so	so
It’s	Its
a	a
very	very
painful	painful
parting	parting
CECILY	Cecily
It	It
is	is
always	always
painful	painful
to	to
part	part
from	from
people	people
Whom	whom
one	one
has	has
known	known
for	for
a	a
very	very
brief	brief
space	space
of	of
time	time
The	The
absence	absence
of	of
old	old
friends	friends
one	one
can	can
endure	endure
with	with
equanimity	equanimity
But	But
even	even
a	a
momentary	momentary
separation	separation
from	from
any	anyone
one	null
to	to
whom	whom
one	one
has	has
just	just
been	been
introduced	introduced
is	is
almost	almost
unbearable	unbearable
r	Algernon
ALGERNON	null
Thank	Thank
you	you
Enter	Enter
MERRIMAN	Merriman
MERRIMAN	Merriman
The	The
dogcart	dogcart
is	is
at	at
the	the
door	door
sir	sir
ALGERNON	Algernon
looks	looks
appealingly	appealingly
at	at
CECILY	Cecily
CECILY	Cecily
It	It
can	can
wait	wait
Merriman	Merriman
fOr	for
ﬁve	five
minutes	minutes
r	Merriman
‘	null
»	null
MERRIMAN	null
Yes	Yes
Miss	Miss
r	null
v	null
Exit	Exit
MERRIMAN	Merriman
Z‘HE	Algernon
IMPORTANCE	null
OFBEING	null
EARNEST	null
69	null
ALCERNON	null
I	I
hope	hope
Cecily	Cecily
I	I
shall	shall
not	not
offend	offend
you	you
if	if
I	I
state	state
quite	quite
frankly	frankly
and	and
openly	openly
that	that
you	you
seem	seem
to	to
me	me
to	to
be	be
in	in
every	every
way	way
the	the
visible	visible
personiﬁcation	personification
of	of
absolute	absolute
perfectiOn	perfection
L	Cecily
’	null
CECILY	null
I	I
think	think
your	your
frankness	frankness
does	does
you	you
great	great
credit	credit
Ernest	Ernest
If	If
you	you
will	will
allow	allow
me	me
I	I
will	will
copy	copy
your	your
remarks	remarks
into	into
my	my
diary	diary
Goes	Goes
over	over
to	to
table	table
and	and
begins	begins
writing	writing
in	in
diary	diary
ALGERNON	Algernon
Do	Do
you	you
really	really
keep	keep
a	a
diary	diary
I’d	Id
give	give
anything	anything
to	to
look	look
at	at
it	it
May	May
I	I
CECILY	Cecily
Oh	Oh
no	no
Puts	Puts
her	her
hand	hand
over	over
it	it
You	You
see	see
it	it
is	is
simply	simply
a	a
very	very
young	young
girl’s	girls
record	record
of	of
her	her
own	own
thoughtsrand	thoughts
null	and
impressions	impressions
and	and
consequently	consequently
meant	meant
for	for
publication	publication
When	When
it	it
appears	appears
in	in
volume	volume
form	form
I	I
hope	hope
you	you
will	will
order	order
a	a
copy	copy
But	But
pray	pray
Ernest	Ernest
don’t	dont
stop	stop
I	I
delight	delight
in	in
taking	taking
down	down
from	from
dictation	dictation
I	I
have	have
reached	reached
“absolute	absolute
perfection”	perfection
You	You
can	can
go	go
on	on
I	I
am	am
quite	quite
ready	ready
for	for
more	more
ALGERNON	Algernon
V	null
Somewhat	Somewhat
taken	taken
aback	aback
Ahem	Ahem
Ahem	Ahem
CECILY	Cecily
Oh	Oh
don’trcough	dont
null	cough
Ernest	Ernest
When	When
one	one
is	is
dictating	dictating
one	one
should	should
speak	speak
ﬂuently	fluently
and	and
not	not
cough	cough
Besides	Besides
Idon’t	I
know	dont
how	know
tospell	how
a	to
cough	spell
r	a
‘	cough
Writes	Writes
as	as
ALGERNON	Algernon
speaks	speaks
70	Algernon
‘THE	null
IMPORTANCE	null
OF	null
BEING	null
EAA’NEST	null
ALGERNON	null
Speaking	Speaking
very	very
rapidly	rapidly
Cecily	Cecily
ever	ever
since	since
I	I
ﬁrst	first
looked	looked
upon	upon
your	your
wonderful	wonderful
and	and
incomparable	incomparable
beauty	beauty
I	I
have	have
dared	dared
to	to
love	love
you	you
wildly	wildly
passionately	passionately
devotedly	devotedly
hopelessly	hopelessly
‘	Cecily
CECILY	null
I	I
don’t	dont
think	think
that	that
you	you
should	should
tell	tell
me	me
that	that
you	you
love	love
me	me
wildly	wildly
passionately	passionately
devotedly	devotedly
hopelessly	hopelessly
Hopelessly	Hopelessly
doesn’t	doesnt
seem	seem
to	to
make	make
much	much
sense	sense
does	does
it	it
ALGERNON	Algernon
Cecily	Cecily
l	null
‘	null
Enter	Enter
MERRIMAN	Merriman
MERRIMAN	Merriman
The	The
dog—cart	dogcart
is	is
waiting	waiting
sir	sir
ALGERNON	Algernon
Tell	Tell
it	it
to	to
come	come
round	round
next	next
week	week
at	at
the	the
same	same
hour	hour
MERRIMAN	Merriman
Looks	Looks
at	at
CECILY	Cecily
who	who
makes	makes
no	no
sign	sign
Yes	Yes
sir	sir
MERRIMAN	Merriman
retires	retires
CECILY	Cecily
Uncle	Uncle
Jack	Jack
would	would
be	be
very	very
much	much
annoyed	annoyed
if	if
he	he
knew	knew
you	you
were	were
staying	staying
on	on
till	till
next	next
week	week
at	at
the	the
same	same
hour	hour
ALGERNON	Algernon
Oh	Oh
I	I
don’t	dont
care	care
about	about
Jack	Jack
I	I
don’t	dont
care	care
fOr	for
any	anybody
body	null
in	in
the	the
whole	whole
world	world
but	but
you	you
I	I
love	love
you	you
Cecily	Cecily
You	You
will	will
marry	marry
me	me
won’t	wont
you	you
THE	Cecily
IMPORTANCE	You
OF	silly
BEING	boy
EARNEST	null
7f	null
CECILY	null
You	null
sillyboy	null
Of	Of
course	course
Why	Why
we	we
have	have
been	been
engaged	engaged
for	for
the	the
last	last
three	three
months	months
I	Algernon
‘	null
ALGERNON	null
For	For
the	the
last	last
three	three
months	months
CECILY	Cecily
‘	null
Yes	Yes
it	it
will	will
be	be
exactly	exactly
three	three
months	months
on	on
Thursdayt	Thursday
ALGERNON	Algernon
But	But
how	how
did	did
we	we
become	become
engaged	engaged
CECILY	Cecily
Well	Well
ever	ever
since	since
dear	dear
Uncle	Uncle
Jack	Jack
ﬁrst	first
confessed	confessed
I	null
to	to
us	us
that	that
he	he
had	had
a	a
younger	younger
brother	brother
who	who
was	was
very	very
wicked	wicked
and	and
bad	bad
you	you
of	of
course	course
have	have
formed	formed
the	the
chief	chief
topic	topic
of	of
conversation	conversation
between	between
myself	myself
and	and
Miss	Miss
Prism	Prism
And	And
of	of
course	course
a	a
man	man
who	who
is	is
much	much
talked	talked
about	about
is	is
always	always
very	very
attractive	attractive
One	One
feels	feels
there	there
must	must
be	be
something	something
in	in
him	him
after	after
all	all
I	I
daresay	daresay
it	it
was	was
foolish	foolish
of	of
me	me
but	but
I	I
fell	fell
in	in
love	love
with	with
you	you
Ernest	Ernest
ALGERNON	Algernon
Darling	Darling
And	And
when	when
was	was
the	the
engagement	engagement
actually	actually
settled	settled
E’	Cecily
r	null
CECILY	null
On	On
the	the
4th	14th
of	of
February	February
last	last
Worn	Worn
out	out
by	by
your	your
entire	entire
ignorance	ignorance
of	of
my	my
existence	existence
I	I
determined	determined
to	to
end	end
the	the
matter	matter
one	one
way	way
or	or
the	the
other	other
and	and
after	after
a	a
long	long
struggle	struggle
with	with
myself	myself
I	I
accepted	accepted
you	you
under	under
this	this
dear	dear
old	old
tree	tree
here	here
The	The
next	next
day	day
I	I
bought	bought
this	this
little	little
72	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
ring	ring
in	in
your	your
name	name
and	and
this	this
is	is
the	the
little	little
bangle	bangle
with	with
the	the
true	true
lovers’	lovers
knot	knot
I	I
promised	promised
you	you
always	always
to	to
wear	wear
ALGERNON	Algernon
Did	Did
I	I
give	give
you	you
this	this
It’s	Its
very	very
pretty	pretty
isn’t	isnt
it	it
CECILY	Cecily
Yes	Yes
you’ve	youve
Wonderfully	wonderfully
good	good
taste	taste
Ernest	Ernest
It’s	Its
the	the
excuse	excuse
I’ve	Ive
always	always
given	given
for	for
your	your
leading	leading
such	such
abad	a
null	bad
life	life
And	And
this	this
is	is
the	the
box	box
in	in
which	which
I	I
keepall	keep
null	all
your	your
dear	dear
letters	letters
Kneels	Kneels
at	at
table	table
opens	opens
box	box
and	and
produces	produces
letters	letters
tied	tied
up	up
with	with
blue	blue
ribbon	ribbon
ALGERNON	Algernon
My	My
letters	letters
But	But
my	my
own	own
sweet	sweet
Cecily	Cecily
I	I
have	have
never	never
written	written
you	you
any	any
letters	letters
CECILY	Cecily
You	You
need	need
hardly	hardly
remind	remind
me	me
of	of
that	that
Ernest	Ernest
I	I
remember	remember
only	only
too	too
well	well
that	that
I	I
was	was
forced	forced
to	to
write	write
your	your
letters	letters
for	for
you	you
I	I
wrote	wrote
always	always
three	three
times	times
a	a
week	week
and	and
sometimes	sometimes
oftener	oftener
ALGERNON	Algernon
Oh	Oh
do	do
let	let
me	me
read	read
them	them
Cecily	Cecily
CECILY	Cecily
Oh	Oh
I	I
couldn’t	couldnt
possibly	possibly
They	They
would	would
make	make
you	you
far	far
too	too
conceited	conceited
Replaces	Replaces
box	box
The	The
three	three
you	you
wrote	wrote
me	me
after	after
I	I
had	had
broken	broken
off	off
the	the
engagement	engagement
are	are
so	so
beautiful	beautiful
and	and
so	so
badly	badly
spelled	spelled
that	that
even	even
now	now
I	I
can	can
hardly	hardly
read	read
them	them
without	without
crying	crying
a	a
little	little
ALGERNON	Algernon
But	But
was	was
our	our
engagement	engagement
ever	ever
broken	broken
off	off
THE	Cecily
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
73	null
CECILY	null
Of	Of
course	course
it	it
was	was
On	On
the	the
22nd	22nd
of	of
last	last
Match	March
You	You
can	can
see	see
the	the
entry	entry
if	if
you	you
like	like
Shows	Shows
diary	diary
“	null
Today	Today
I	I
broke	broke
off	off
my	my
engagement	engagement
with	with
Ernest	Ernest
I	I
feel	feel
it	it
is	is
better	better
to	to
do	do
so	so
The	The
weather	weather
still	still
continues	continues
charming	charming
‘	Algernon
ALGERNON	null
But	But
why	why
on	on
earth	earth
did	did
you	you
break	break
it	it
off	off
What	What
had	had
I	I
done	done
I	I
had	had
done	done
nothing	nothing
at	at
all	all
Cecily	Cecily
I	I
am	am
very	very
much	much
hurt	hurt
indeed	indeed
go	to
hear	hear
you	you
broke	broke
it	it
off	off
Particularly	Particularly
when	when
the	the
weather	weather
was	was
so	so
charming	charming
CECILY	Cecily
It	It
would	would
hardly	hardly
have	have
been	been
a	a
really	really
serious	serious
engagement	engagement
if	if
it	it
hadn’t	hadnt
been	been
broken	broken
off	off
at	at
least	least
once	once
But	But
I	I
forgave	forgave
you	you
before	before
the	the
week	week
was	was
out	out
ALGERNON	Algernon
Crossing	Crossing
to	to
her	her
and	and
kneeling	kneeling
What	What
a	a
perfect	perfect
angel	angel
you	you
are	are
Cecily	Cecily
CECILY	Cecily
You	You
dear	dear
romantic	romantic
boy	boy
He	He
kisses	kisses
her	her
she	she
puts	puts
her	her
ﬁngers	fingers
through	through
his	his
hair	hair
I	I
hope	hope
your	your
hair	hair
curls	curls
naturally	naturally
does	does
it	it
ALGERNON	Algernon
Yes	Yes
darling	darling
with	with
alittle	a
null	little
help	help
from	from
others	others
I	Cecily
CECILY	null
I	I
am	am
so	so
glad	glad
‘ALGERNON	Algernon
iYou’ll	Youll
neverbreak	never
null	break
off	off
our	our
engagement	engagement
again	again
Cecily	Cecily
r	Cecily
74	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
CECILY	null
I	I
don’t	dont
think	think
I	I
could	could
break	break
it	it
off	off
now	now
that	that
I	I
have	have
actually	actually
met	met
you	you
Besides‘of	Besides
null	of
course	course
there	there
is	is
the	the
question	question
of	of
your	your
name	name
ALGERNON	Algernon
Yes	Yes
of	of
course	course
Nervomly	Nervously
CECILY	Cecily
You	You
must	must
not	not
laugh	laugh
at	at
me	me
darling	darling
but	but
it	it
had	had
al	always
ways	been
been	a
a	girlish
am	dream
of	of
mine	mine
to	to
love	love
some	some
one	one
i	whose
ALGERNON	name
null	was
null	Ernest
null	Algernon
rises	rises
CECILY	Cecily
also	also
There	There
is	is
something	something
in	in
that	that
name	name
that	that
seems	seems
to	to
inspire	inspire
absolute	absolute
conﬁdence	confidence
I	I
pity	pity
any	any
poor	poor
married	married
woman	woman
whose	whose
husband	husband
is	is
not	not
called	called
Ernest	Ernest
ALGERNON	Algernon
But	But
my	my
dear	dear
child	child
do	do
you	you
mean	mean
to	to
say	say
you	you
could	could
not	not
love	love
me	me
if	if
I	I
had	had
some	some
other	other
name	name
CECIL‘Y	Cecily
But	But
what	what
name	name
I	Algernon
ALGERNON	null
Oh	Oh
any	any
name	name
you	you
like—Algernon—for	likeAlgernonfor
in—	instance
stance	Cecily
CECILY	null
But	But
I	I
don’t	dont
like	like
the	the
name	name
of	of
Algernon	Algernon
ALGERNON	Algernon
L	null
Well	Well
my	my
own	own
dear	dear
sweet	sweet
loving	loving
little	little
darling	darling
I	I
really	really
can’t	cant
see	see
why	why
you	you
should	should
object	object
to	to
the	the
name	name
of	of
Algernon	Algernon
It	It
is	is
not	not
at	at
all	all
a	a
bad	bad
name	name
In	In
fact	fact
it	it
is	is
rather	rather
anaristocratic	an
null	aristocratic
name	name
Half	Half
of	of
the	the
chaps	chaps
who	who
get	get
into	into
the	the
Bankruptcy	Bankruptcy
Court	Court
are	are
called	called
Alger	Algernon
rm	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
‘75	null
non	null
But	But
seriously	seriously
Cecily	Cecily
Moving	Moving
to	to
her	her
if	if
my	my
name	name
was	was
Algy	Algy
couldn’t	couldnt
you	you
love	love
me	me
I	Cecily
CECILY	null
Rising	Rising
I	I
might	might
respect	respect
you	you
Ernest	Ernest
I	I
might	might
admire	admire
your	your
character	character
but	but
I	I
fear	fear
that	that
I	I
should	should
not	not
be	be
able	able
to	to
give	give
you	you
my	my
undivided	undivided
attention	attention
ALGERNON	Algernon
Ahem	Ahem
Cecily	Cecily
Picking	Picking
up	up
hat	hat
Your	Your
Rector	Rector
here	here
is	is
I	I
suppose	suppose
thoroughly	thoroughly
experienced	experienced
in	in
the	the
practice	practice
Of	of
all	all
the	the
rites	rites
and	and
ceremonials	ceremonials
of	of
the	the
Church	Church
CECILY	Cecily
Oh	Oh
yes	yes
Dr	Dr
Chasuble	Chasuble
is	is
a	a
most	most
learned	learned
man	man
He	He
has	has
never	never
written	written
a	a
single	single
book	book
so	so
you	you
can	can
imagine	imagine
how	how
much	much
he	he
knows	knows
‘	Algernon
ALGERNON	null
I	I
must	must
see	see
him	him
at	at
once	once
on	on
a	a
most	most
important	important
chris—	christeningI
tening—I	null
mean	mean
on	on
most	most
important	important
business	business
CECILY	Cecily
Oh	Oh
ALGERNON	Algernon
I	I
shant	shant
be	be
away	away
more	more
than	than
half	half
an	an
hour	hour
CECILY	Cecily
Considering	Considering
that	that
we	we
have	have
been	been
engaged	engaged
since	since
February	February
theI4th	the
null	14th
and	and
that	that
I	I
only	only
met	met
you	you
today	today
for	for
the	the
ﬁrst	first
time	time
I	I
think	think
it	it
is	is
rather	rather
hard	hard
that	that
you	you
should	should
leave	leave
me	me
for	for
so	so
10an	long
a	a
period	period
as	as
half	half
an	an
hour	hour
Couldn’t	Couldnt
you	you
make	make
it	it
twenty	twenty
minutes	minutes
V’Vﬁl’anmwa	Algernon
w	Ill
76	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
ALGERNON	null
I’ll	null
be	be
back	back
in	in
no	no
time	time
Kisses	Kisses
her	her
and	and
rushes	rushes
down	down
the	the
garden	garden
CECILY	Cecily
What	What
an	an
impetuous	impetuous
boy	boy
he	he
is	is
I	I
like	like
his	his
hair	hair
so	so
much	much
I	I
must	must
enterhis	enter
null	his
proposal	proposal
in	in
my	my
diary	diary
Enter	Enter
MERRIMAN	Merriman
MERRIMAN	Merriman
A	A
Miss	Miss
Fairfax	Fairfax
has	has
just	just
called	called
to	to
see	see
Mr	Mr
Worth	Worthing
ing	null
On	On
very	very
important	important
business	business
Miss	Miss
Fairfax	Fairfax
states	states
CECILY	Cecily
Isn’t	Isnt
Mr	Mr
Worthing	Worthing
in	in
his	his
library	library
MERRIMAN	Merriman
Mr	Mr
Worthing	Worthing
went	went
over	over
in	in
the	the
direction	direction
of	of
the	the
Rectory	Rectory
some	some
time	time
ago	ago
CECILY	Cecily
Pray	Pray
ask	ask
the	the
lady	lady
to	to
come	come
out	out
here	here
Mr	Mr
Worthing	Worthing
is	is
sure	sure
to	to
be	be
back	back
soon	soon
And	And
you	you
can	can
bring	bring
tea	tea
MERRIMAN	Merriman
Yes	Yes
Miss	Miss
Goes	Goes
out	out
CECILY	Cecily
‘	null
Miss	Miss
Fairfax	Fairfax
I	I
suppose	suppose
one	one
of	of
the	the
many	many
good	good
elderly	elderly
women	women
who	who
are	are
associated	associated
with	with
Uncle	Uncle
Jack	Jack
in	in
some	some
of	of
his	his
philanthropic	philanthropic
work	work
in	in
London	London
I	I
