HARVARD	Sir
power	power
of	of
saying	saying
to	to
hertelf	herself
These	These
rooms	rooms
ought	ought
to	to
belong	belong
only	only
to	to
us	us
Oh	Oh
how	how
fallen	fallen
in	in
their	their
destination	destination
How	How
unworthin	unworthily
occupiedl	occupied
An	An
ancient	ancient
family	family
to	to
he	be
so	so
driven	driven
away	away
Strangers	Strangers
ﬁlling	filling
their	their
place	place
’	null
No	No
except	except
when	when
the	she
thought	thought
of	of
her	her
mother	mother
and	and
remembered	remembered
where	where
she	she
had	had
been	been
uted	used
to	to
sit	sit
and	and
preside	preside
she	she
had	had
no	no
sigh	sigh
of	of
that	that
decription	description
to	to
heave	heave
PERSUASION	null
l	null
21	null
Mrs	Mrs
Croft	Croft
always	always
met	met
her	her
with	with
a	a
kindness	kindness
which	which
gave	gave
her	her
the	the
pleasure	pleasure
of	of
fancying	fancying
henelf	herself
a	a
favourite	favourite
and	and
on	on
the	the
present	present
occaeion	occasion
receiving	receiving
her	her
in	in
that	that
house	house
there	there
viaLparticular	was
null	particular
attention	attention
The	The
null	sad
accident	accident
at	at
Lyme	Lyme
was	was
soon	soon
the	the
prevailing	prevailing
topic	topic
and	and
on	on
comparing	comparing
their	their
latest	latest
accounts	accounts
of	of
the	the
invalid	invalid
it	it
appeared	appeared
that	that
each	each
lady	lady
dated	dated
her	her
intelligence	intelligence
from	from
the	the
same	same
hour	hour
of	of
yettennom	yestermorn
that	that
Captain	Captain
Wentworth	Wentworth
had	had
been	been
in	in
Kellyncll	Kellynch
yeeterday	yesterday
the	the
lint	first
time	time
since	since
the	the
accident	accident
had	had
brought	brought
Anne	Anne
the	the
last	last
note	note
which	which
the	she
had	had
not	not
been	been
able	able
to	to
trace	trace
the	the
exact	exact
ltepl	steps
of	of
had	had
staid	staid
a	a
cw	few
houryand	hours
thenretumedagainto	and
null	then
null	returned
null	again
null	to
Lyme	Lyme
and	and
without	without
any	any
present	present
intention	intention
of	of
quitting	quitting
it	it
any	any
more	more
He	He
had	had
enquired	enquired
after	after
her	her
she	she
found	found
particularly	particularly
had	had
ex	expressed
rcssed	null
his	his
hope	hope
of	of
Mice	Miss
Elliot’s	Elliots
not	not
being	being
the	the
worse	worse
gar	for
her	her
exemonl	exertions
and	and
had	had
spoken	spoken
of	of
there	those
exertions	exertions
as	as
great	great
This	This
was	was
handsome	handsome
and	and
gave	gave
her	her
more	more
pleasure	pleasure
than	than
almost	almost
anything	anything
else	else
could	could
have	have
done	done
As	As
to	to
the	the
sad	sad
catastrophe	catastrophe
itself	itself
it	it
could	could
be	be
canvassed	canvassed
only	only
in	in
one	one
style	style
by	by
a	a
couple	couple
of	of
mdy	steady
sensible	sensible
women	women
whoee	whose
judgments	judgements
had	had
to	to
work	work
on	on
ascertained	ascertained
events	events
and	and
it	it
was	was
perfectly	perfectly
decided	decided
that	that
it	it
had	had
been	been
the	the
conseuence	consequence
of	of
much	much
thoughtfulness	thoughtlessness
and	and
much	much
imprudcnce	imprudence
t	that
iu	its
effect	effects
were	were
most	most
alarruin	alarming
and	and
that	that
it	it
wan	was
frightfiil	frightful
to	to
think	think
how	how
lon	long
Miu	Miss
Nfusgroves	Musgroves
recove	recovery
might	might
yet	yet
he	be
doubtful	doubtful
an	and
how	how
liable	liable
she	she
would	would
nil	still
remain	remain
to	to
out”	suffer
from	from
the	the
caucusion	concussion
hereafter	hereafter
The	The
Admiral	Admiral
wound	wound
it	it
all	null
up	up
luminarin	summarily
by	by
exclaiming—	exclaiming
“	null
Ay	Ay
a	a
very	very
bad	bad
holiness	business
indeed	indeed
A	A
new	new
sort	sort
of	of
way	way
thin	this
for	for
a	a
young	young
fellow	fellow
to	to
be	be
making	making
love	love
by	by
breaking	breaking
hit	his
mistrcae’e	mistresss
head	head
is	is
not	not
it	it
Miss	Miss
Elliot	Elliot
This	This
in	is
breaking	breaking
a	a
head	head
and	and
giving	giving
a	a
planter	plaster
tnrlyl	truly
Admiral	Admiral
Crott’u	Crofts
manners	manners
were	were
not	not
quite	quite
of	of
the	the
tone	tone
to	to
suit	suit
Lad	Lady
Russell	Russell
but	but
the	they
delighted	delighted
Anne	Anne
Hie	His
goodnesl	goodness
oly	of
heart	heart
and	and
timpicity	simplicity
of	of
character‘	character
were	were
Irreeietiblc	irresistible
18	Now
PERSUASION	this
“Now	must
thin	null
mutt	null
be	be
very	very
bad	bad
for	for
you	you
laid	said
lie	he
luddenl	suddenly
routing	rousing
from	from
n	a
little	little
reverie	reverie
“to	to
be	be
coming	coming
and	and
ii	finding
ing	us
u	null
here	here
I	I
had	had
not	not
recollected	recollected
it	it
before	before
I	I
declare	declare
but	but
it	it
mutt	must
be	be
very	very
bad	bad
But	But
now	now
do	do
not	not
and	stand
upon	upon
ceremony	ceremony
Get	Get
up	up
and	and
go	go
over	over
all	all
the	the
moms	rooms
in	in
the	the
home	house
if	if
you	you
like	like
it	it
“	null
Another	Another
time	time
Iir	Sir
I	I
thank	thank
you	you
not	not
now’	now
’	null
“	null
Well	Well
whenever	whenever
it	it
wit	suits
you	you
You	You
can	can
blip	slip
in	in
from	from
the	the
Ihruhbery	shrubbery
at	at
any	any
time	time
and	and
there	there
you	you
will	will
ﬁnd	find
we	we
keep	keep
our	our
umbrella	umbrellas
han	hanging
ing	null
up	up
by	by
that	that
door	door
A	A
good	good
place	place
in	is
not	not
it	it
But”	But
checking	checking
himnelf	himself
“you	you
will	will
not	not
think	think
it	it
a	a
good	good
place	place
for	for
your	yours
were	were
nlwnye	always
kept	kept
in	in
the	the
battle	butlers
room	room
Ay	Ay
no	so
it	it
alwaye	always
ll	is
I	I
believe	believe
One	One
man’s	mans
way	ways
may	may
be	be
at	as
good	good
u	as
Inclher’l	anothers
but	but
We	we
all	all
like	like
our	our
own	own
belt	best
and	And
no	so
you	you
must	must
judge	judge
for	for
yourelf	yourself
whether	whether
it	it
would	would
be	be
better	better
for	for
you	you
to	to
go	go
about	about
the	the
home	house
or	or
not”	not
r	Anne
“Anne	finding
ﬁnding	she
the	null
might	might
decline	decline
it	it
did	did
I0	so
very	very
grate“	gratefully
e	We
zWe	null
have	have
made	made
very	very
few	few
changes	changes
either	either
continued	continued
the	the
Admin4	Admiral
after	after
thinking	thinking
a	a
moment	moment
“Very	Very
few	few
We	We
told	told
you	you
about	about
the	the
laundrydoor	laundrydoor
at	at
Uppercrou	Uppercross
That	That
has	has
been	been
a	a
very	very
great	great
improvement	improvement
The	The
wonder	wonder
wan	was
how	how
any	any
family	family
upon	upon
earth	earth
could	could
bear	bear
with	with
the	the
inconvenience	inconvenience
of	of
it	its
opening	opening
an	as
it	it
did	did
I0	so
long	long
You	You
will	will
tell	tell
Sir	Sir
Walter	Walter
what	what
we	we
have	have
done	done
and	and
that	that
Mr	Mr
Shepherd	Shepherd
think	thinks
it	it
the	the
greatest	greatest
improvement	improvement
the	the
houee	house
ever	ever
had	had
Indeed	Indeed
I	I
moat	must
do	do
ourselvel	ourselves
the	the
juttice	justice
to	to
any	say
that	that
the	the
few	few
alteration	alterations
we	we
have	have
made	made
have	have
been	been
all	all
very	very
much	much
for	for
the	the
better	better
My	My
wife	wife
should	should
have	have
the	the
credit	credit
of	of
them	them
however	however
I	I
have	have
done	done
very	very
little	little
beeidee	besides
tending	sending
away	away
Jame	some
of	of
the	the
large	large
lookingglam	lookingglasses
from	from
my	my
dmaingmom	dressingroom
which	which
wat	was
your	your
father’l	fathers
A	A
very	very
good	good
man	man
and	and
very	very
much	much
the	the
gentlemen	gentleman
I	I
am	am
lure	sure
but	but
I	I
thould	should
think	think
Miu	Miss
Elliot	Elliot
looking	looking
with	with
eerioul	serious
reflection	reflection
uI	I
Ihonld	should
think	think
he	he
must	must
be	be
rather	rather
I	a
nusunsrorw	dressy
129	null
dreuy	null
man	man
for	for
hie	his
time	time
of	of
life	life
Such	Such
a	a
number	number
of	of
lookingglam	lookingglasses
oh	oh
Lord	Lord
there	there
wu	was
no	no
getting	getting
am	away
from	from
one’l	ones
Ielf	self
So	So
I	I
got	got
Sophy	Sophy
to	to
lend	lend
me	me
a	a
ban	hand
and	and
we	we
noon	soon
thifred	shifted
their	their
quarters	quarters
and	and
now	now
I	I
am	am
quite	quite
snug	snug
with	with
my	my
little	little
shavinggla	shaving
null	glass
in	in
one	one
corner	corner
and	and
another	another
great	great
thing	thing
that	that
I	I
never	never
go	go
near”	near
Anne	Anne
amueed	amused
in	in
spite	spite
ofhereelf	of
wan	herself
null	was
rather	rather
diatreued	distressed
for	for
an	an
answer	answer
and	and
the	the
Admiral	Admiral
fearing	fearing
he	he
might	might
not	not
have	have
been	been
civil	civil
enough	enough
took	took
up	up
the	the
eubject	subject
again	again
to	to
M	say
y	null
The	The
next	next
time	time
you	you
write	write
to	to
your	your
good	good
father	father
Miu	Miss
Elliot	Elliot
pray	pray
give	give
null	him
my	my
complimenu	compliments
and	and
Mr	Mrs
Croft’s	Crofts
and	and
ny‘that	say
null	that
we	we
are	are
Iettled	settled
here	here
quite	quite
to	to
our	our
liking	liking
and	and
have	have
no	no
fault	fault
at	at
all	all
to	to
ﬁnd	find
with	with
the	the
lace	place
The	The
breakfutroom	breakfastroom
chimney	chimney
makes	smokes
a	a
little	little
null	I
grant	grant
on	you
but	but
it	it
in	is
only	only
when	when
the	the
wind	wind
ll	is
due	due
north	north
and	and
bOVII	blows
hard	hard
which	which
may	may
not	not
happen	happen
three	three
time	times
a	a
winter	winter
And	And
take	take
it	it
altogether	altogether
now	now
that	that
we	we
have	have
been	been
into	into
moat	most
of	of
the	the
bonnet	houses
hereahoute	hereabouts
and	and
an	can
judge	judge
there	there
in	is
not	not
one	one
that	that
we	we
like	like
better	better
than	than
this	this
Pray	Pray
say	say
no	so
with	with
my	my
compliments	compliments
He	He
will	will
be	be
glad	glad
to	to
hear	hear
it	it
Lady	Lady
Runell	Russell
and	and
Mr	Mrs
Croft	Croft
were	were
very	very
well	well
Pleued	pleased
with	with
each	each
other	other
but	but
the	the
acquaintance	acquaintance
which	which
the	this
visit	visit
began	began
was	was
fated	fated
not	not
to	to
roceed	proceed
far	far
at	at
relent	present
for	for
when	when
it	it
will	was
returned	returned
the	the
grafts	Crofts
announced	announced
themlelveu	themselves
to	to
he	be
going	going
away	away
for	for
a	a
few	few
weekl	weeks
to	to
visit	visit
their	their
connexion	connexions
in	in
the	the
north	north
of	of
the	the
county	county
and	and
probably	probably
might	might
not	not
be	be
at	at
home	home
again	again
before	before
Lady	Lady
Ruuell	Russell
would	would
be	be
removing	removing
to	to
Bath	Bath
So	So
ended	ended
all	all
danger	danger
to	to
Anne	Anne
of	of
meeting	meeting
Captain	Captain
Wentworth	Wentworth
at	at
Kellynch	Kellynch
Hall	Hall
or	or
of	of
seeing	seeing
him	him
in	in
com	company
pany	null
with	with
her	her
friend	friend
Everything	Everything
was	was
nfe	safe
enough	enough
and	and
ehe	she
mailed	smiled
over‘the	over
null	the
many	many
anxioul	anxious
feeling	feelings
the	she
had	had
wanted	wasted
on	on
the	the
Iubject	subject
130	null
rensuasron	null
Chapter	Chapter
317	14
HOUGH	Though
Charle	Charles
Ind	and
Ma	Mary
had	had
remained	remained
at	at
Lyme	Lyme
much	much
longer	longer
after	after
r	Mr
and	and
Mn	Mrs
Muegrovel	Musgroves
going	going
than	than
Anne	Anne
conceived	conceived
they	they
could	could
have	have
been	been
at	at
all	all
wanted	wanted
they	they
were	were
yet	yet
the	the
lint	first
of	of
the	the
family	family
to	to
be	be
at	at
home	home
again	again
and	and
at	as
noon	soon
at	as
possible	possible
after	after
their	their
return	return
to	to
U	Uppercross
percrote	null
they	they
drove	drove
over	over
to	to
the	the
Lodge	Lodge
They	They
had	had
le	left
r	Louisa
Lonia	beginning
be	null
nning	null
to	to
lit	sit
up	up
but	but
her	her
had	head
though	though
clear	clear
wan	was
exce	exceedingly
ingly	null
weak	weak
and	and
her	her
nerve	nerves
runceptible	susceptible
to	to
the	the
highest	highest
extreme	extreme
of	of
tenderness	tenderness
and	and
though	though
Ill	she
might	might
be	be
renounced	pronounced
to	to
be	be
altogether	altogether
doing	doing
very	very
well	well
it	it
wan	was
nil	still
impouible	impossible
to	to
say	say
when	when
the	she
might	might
be	be
able	able
to	to
hear	bear
the	the
removal	removal
home	home
and	and
her	her
father	father
Ind	and
mother	mother
who	who
mutt	must
return	return
in	in
time	time
to	to
receive	receive
their	their
younger	younger
children	children
for	for
the	the
Chrimnan	Christmas
holidayn	holidays
had	had
hardly	hardly
a	a
ha	hope
of	of
being	being
allowed	allowed
to	to
bring	bring
her	her
with	with
them	them
They	They
ha	had
been	been
all	all
in	in
lodgings	lodgings
together	together
Mrs	Mrs
Mungmve	Musgrove
had	had
got	got
Mrs	Mrs
Harvillc’r	Harvilles
children	children
away	away
I	as
much	much
as	as
the	she
could	could
every	every
pouible	possible
Iupply	supply
from	from
Uppercrou	Uppercross
had	had
been	been
furniahed	furnished
to	to
li	lighten
hten	null
the	the
inconvenience	inconvenience
to	to
the	the
Harvillee	Harvilles
while	while
the	the
arvillen	Harvilles
had	had
been	been
wanting	wanting
them	them
to	to
come	come
to	to
dinner	dinner
every	every
day	day
and	and
in	in
Ihnrt	short
it	it
seemed	seemed
to	to
have	have
been	been
only	only
a	a
Itruggle	struggle
on	on
each	each
side	side
at	as
to	to
which	which
thould	should
be	be
moat	most
disinterested	disinterested
and	and
hoapimble	hospitable
Mary	Mary
had	had
had	had
her	her
evil	evils
but	but
upon	upon
the	the
whole	whole
as	as
wan	was
evident	evident
by	by
her	her
staying	staying
so	so
long	long
she	she
had	had
found	found
more	more
to	to
enjoy	enjoy
than	than
to	to
taller	suffer
Charle	Charles
Hayter	Hayter
had	had
been	been
at	at
L	Lyme
me	null
oftener	oftener
than	than
Iuited	suited
her	her
and	and
when	when
they	they
dined	dined
With	with
the	the
Harvillet	Harvilles
there	there
had	had
been	been
only	only
a	a
maidservant	maidservant
to	to
wait	wait
and	and
at	at
ﬁrst	first
Mrs	Mrs
Halrville	Harville
had	had
nlwnyr	always
given	given
Mre	Mrs
Mulgrove	Musgrove
precedence	precedence
but	but
then	then
the	she
had	had
received	received
so	so
very	very
handmme	handsome
an	an
apology	apology
from	from
her	her
on	on
ﬁnding	finding
out	out
whoee	whose
daughter	daughter
the	she
was	was
and	and
there	there
had	had
been	been
so	so
much	much
going	going
on	on
every	every
day	day
there	there
had	had
been	been
no	so
many	many
walk	walks
museum	null
1	null
between	between
their	their
lodgings	lodgings
and	and
the	the
Harvilles	Harvilles
and	and
she	she
had	had
got	got
books	books
from	from
the	the
library	library
and	and
changed	changed
them	them
so	so
often	often
that	that
the	the
balance	balance
had	had
certainly	certainly
been	been
much	much
in	in
favour	favour
of	of
Lyme	Lyme
She	She
had	had
been	been
taken	taken
to	to
Charmouth	Charmouth
too	too
and	and
she	she
had	had
bathed	bathed
and	and
she	she
had	had
gone	gone
to	to
church	church
and	and
there	there
were	were
a	a
great	great
many	many
more	more
people	people
to	to
look	look
at	at
in	in
the	the
church	church
at	at
Lyme	Lyme
than	than
at	at
Uppercross	Uppercross
and	and
all	all
this	this
joined	joined
to	to
the	the
sense	sense
of	of
being	being
so	so
very	very
useful	useful
had	had
made	made
really	really
an	an
agreeable	agreeable
fortnight	fortnight
Anne	Anne
in	enquired
uired	null
after	after
Captain	Captain
Benwick	Benwick
Marys	Marys
face	face
was	was
clouded	clouded
directly	directly
Charles	Charles
laughed	laughed
0h	Oh
Captain	Captain
Benwiek	Benwick
is	is
very	very
well	well
I	I
believe	believe
but	but
he	he
is	is
a	a
very	very
odd	odd
young	young
man	man
I	I
do	do
not	not
know	know
what	what
he	he
would	would
be	be
at	at
We	We
asked	asked
him	him
In	to
come	come
home	home
with	with
ml	us
for	for
a	a
day	day
or	or
two	two
Charles	Charles
undertook	undertook
to	to
ve	give
him	him
come	some
shooting	shooting
and	and
he	he
seemed	seemed
quite	quite
deligh	delighted
and	and
for	for
my	my
Kart	part
I	I
thought	thought
it	it
was	was
all	all
settled	settled
when	when
beholdl	behold
on	on
uesday	Tuesday
night	night
he	he
made	made
a	a
very	very
awkward	awkward
sort	sort
of	of
an	null
excuse	excuse
he	he
never	never
shot’	shot
and	and
he	he
had	had
‘been	been
quite	quite
milundemood’	misunderstood
and	and
he	he
had	had
promised	promised
this	this
and	and
he	he
had	had
promised	promised
that	that
and	and
the	the
end	end
of	of
it	it
was	was
I	I
found	found
that	that
he	he
did	did
not	not
mean	mean
to	to
come	come
I	I
sup	suppose
se	null
he	he
was	was
afraid	afraid
of	of
ﬁnding	finding
it	it
dull	dull
but	but
upon	upon
my	my
wo	word
I	I
should	should
have	have
though	thought
we	we
were	were
lively	lively
enough	enough
at	at
the	the
Cottage	Cottage
for	for
such	such
a	a
heartbroken	heartbroken
man	man
as	as
Ca	Captain
tain	Benwick
Benwick’	null
Charles	Charles
laugh	laughed
again	again
and	and
said	said
“Now	Now
Ma	Mary
you	you
know	know
very	very
well	well
how	how
it	it
reall	really
was	was
It	It
was	was
all	all
your	your
doing”	doing
turning	turning
to	to
Anne	Anne
e	He
fancied	fancied
that	that
if	if
he	he
went	went
with	with
us	us
he	he
should	should
ﬁnd	find
ou	you
close	close
by	by
he	he
fancied	fancied
everybody	everybody
to	to
be	be
living	living
in	in
ppercross	Uppercross
and	and
when	when
he	he
discovered	discovered
that	that
Lady	Lady
Russell	Russell
lived	lived
three	three
mile	miles
of	off
his	his
heart	heart
failed	failed
him	him
and	and
he	he
had	had
not	not
courage	courage
to	to
come	come
That	That
is	is
the	the
fact	fact
upon	upon
my	my
honour	honour
Mary	Mary
knows	knows
it	it
is”	is
But	But
Mary	Mary
did	did
not	not
give	give
into	into
it	it
very	very
graciously	graciously
whether	whether
from	from
not	not
considering	considering
Captain	Captain
Benwick	Benwick
entitled	entitled
by	by
birth	birth
and	and
situation	situation
to	to
bein	be
null	in
love	love
with	with
an	an
Elliot	Elliot
or	or
from	from
not	not
want»	wanting
32	null
PERSUASION	null
in	null
to	to
believe	believe
Anne	Anne
a	a
greater	greater
attraction	attraction
to	to
Uppercrou	Uppercross
than	than
heneIi	herself
mun	must
be	be
left	left
to	to
be	be
gueued	guessed
Annel	Annes
goodwill	goodwill
however	however
war	was
not	not
to	to
be	be
leuened	lessened
by	by
what	what
Ihe	she
heard	heard
She	She
boldly	boldly
acknowledged	acknowledged
heraelf	herself
ﬂattered	flattered
and	and
condoned	continued
her	her
ninea	enquiries
“Ohl	Oh
he	he
ul	talks
of	of
you	you
cried	cried
Charlea	Charles
in	in
arch	such
terrm	terms
—	null
Mary	Mary
interrupted	interrupted
him	him
“I	I
declare	declare
Charles	Charles
I	I
never	never
heard	heard
him	him
mention	mention
Anne	Anne
twice	twice
all	all
the	the
timel	time
wan	I
null	was
there	there
I	I
declare	declare
Anne	Anne
he	he
never	never
talka	talks
of	of
you	you
at	at
all	all
“	null
No	No
ndmitted	admitted
Charlea	Charles
“	null
I	I
do	do
not	not
know	know
that	that
he	he
ever	ever
doea	does
in	in
a	a
general	general
way	way
but	but
however	however
it	it
in	is
a	a
very	very
clear	clear
thing	thing
that	that
he	he
admires	admires
you	you
exceedingly	exceedingly
Hie	His
head	head
in	is
full	full
of	of
come	some
hooka	books
that	that
he	he
in	is
reading	reading
upon	upon
your	your
recommendation	recommendation
and	and
he	he
wants	wants
to	to
talk	talk
to	to
you	you
about	about
them	them
he	he
he	has
found	found
out	out
something	something
or	or
other	other
in	in
one	one
of	of
them	them
which	which
he	he
thinks—oh	thinksoh
I	I
cannot	cannot
pretend	pretend
to	to
remember	remember
it	it
but	but
it	it
um	was
aomething	something
very	very
ﬁne—I	fineI
overheard	overheard
him	him
telling	telling
Henrietta	Henrietta
all	all
about	about
it	it
and	and
then	then
‘	Miss
Mica	Elliot
Elliot’	null
was	was
apoken	spoken
of	of
in	in
the	the
highett	highest
termal	terms
Now	Now
Mary	Mary
I	I
declare	declare
it	it
waa	was
to	so
I	I
heard	heard
it	it
myaeli	myself
and	and
you	you
were	were
in	in
the	the
other	other
room	room
‘	Elegance
El	sweetness
ance	beauty
Iweetneu	null
beanty’	null
Oh	Oh
there	there
war	was
no	no
end	end
of	of
in	Miss
Elliot’l	Elliots
charml	charms
“And	And
I	I
am	am
sure	sure
cried	cried
Mary	Mary
warmly	warmly
“it	it
waa	was
null	a
very	very
little	little
to	to
his	his
credit	credit
if	if
he	he
did	did
Miss	Miss
Harville	Harville
only	only
died	died
laat	last
June	June
Such	Such
a	a
heart	heart
it	is
very	very
little	little
worth	worth
having	having
in	is
it	it
Lady	Lady
Ruuell	Russell
I	I
am	am
cure	sure
you	you
will	will
agree	agree
with	with
me	me
“	null
I	I
mun	must
are	see
CaFMin	Captain
Benwick	Benwick
before	before
I	I
decide	decide
laid	said
Lady	Lady
Runell	Russell
ami	smiling
mg	null
“	null
And	And
that	that
you	you
are	are
very	very
likely	likely
to	to
do	do
very	very
noon	soon
I	I
can	can
tell	tell
you	you
ma’am	maam
laid	said
Charlel	Charles
“	null
Though	Though
he	he
had	had
not	not
nervea	nerves
for	for
coming	coming
nwny	away
with	with
m	us
and	and
setting	setting
off	off
agnin	again
afterwardl	afterwards
to	to
y	pay
a	a
formal	formal
viait	visit
here	here
he	he
will	will
make	make
hil	his
way	way
over	over
to	to
ellynch	Kellynch
one	one
day	day
by	by
himelf	himself
you	you
ma	may
depend	depend
on	on
it	it
I	I
told	told
him	him
the	the
distance	distance
and	and
the	the
road	road
PERSUASION	null
I	null
33	null
and	and
I	I
told	told
him	him
of	of
the	the
churchs	churchs
being	being
so	so
very	very
well	well
worth	worth
aeeing	seeing
for	for
an	as
he	he
has	has
a	a
taste	taste
for	for
those	those
Iort	sort
of	of
thinga	things
I	I
thou	thought
ht	null
that	that
would	would
be	be
a	a
good	good
exeuae	excuse
and	and
he	he
listened	listened
with	with
l	all
hie	his
“demanding	understanding
and	and
soul	soul
and	and
I	I
am	am
sure	sure
from	from
his	his
manner	manner
that	that
you	you
will	will
have	have
him	him
calling	calling
here	here
ooon	soon
So	So
I	I
give	give
you	you
notice	notice
Lady	Lady
Ruuell	Russell
“	null
Any	Any
acquaintance	acquaintance
of	of
Anne’e	Annes
will	will
be	always
alwaya	be
welcome	welcome
to	to
me”	me
wan	was
Lady	Lady
Ruuell’l	Russells
kind	kind
answer	answer
“	null
Oh	Oh
I	as
an	null
to	to
being	being
Anne’a	Annes
acquaintance”	acquaintance
said	said
Mary	Mary
“	null
I	I
think	think
he	he
it	is
rather	rather
my	my
unquaintance	acquaintance
for	for
I	I
have	have
been	been
Ieein	seeing
him	him
every	every
day	day
thin	this
last	last
fortnight	fortnight
“	Well
ell	null
as	as
your	your
aim	joint
acquaintance	acquaintance
then	then
I	I
shall	shall
be	be
very	very
happy	happy
to	to
nee	see
pain	Captain
Benwick	Benwick
“	null
You	You
will	will
not	not
ﬁnd	find
anything	anything
ve	very
agreeable	agreeable
in	in
him	him
I	I
nature	assure
you	you
ma’am	maam
He	He
in	is
one	one
o	of
the	the
dullest	dullest
young	young
men	men
that	that
ever	ever
lived	lived
He	He
hnn	has
walked	walked
with	with
me	me
sometimes	sometimes
from	from
one	one
end	end
of	of
the	the
and	sands
w	to
the	the
other	other
without	without
saying	saying
a	a
word	word
He	He
in	is
not	not
at	at
all	all
a	a
wellbred	wellbred
young	young
man	man
I	I
am	am
sure	sure
you	you
will	will
not	not
like	like
him	him
“	null
There	There
we	we
differ	differ
Mary	Mary
laid	said
Anne	Anne
“I	I
think	think
Lady	Lady
Rueell	Russell
would	would
like	like
him	him
I	I
think	think
the	she
would	would
be	be
no	so
much	much
pleated	pleased
with	with
his	his
mind	mind
that	that
she	she
would	would
very	very
noon	soon
see	see
no	no
deﬁciency	deficiency
in	in
his	his
manner”	manner
“	null
So	So
do	do
I	I
Anne	Anne
laid	said
Charlea	Charles
I	I
am	am
sure	sure
Lady	Lady
Russell	Russell
would	would
like	like
him	him
He	He
in	is
jun	just
Lady	Lady
Russell	Russells
s	sort
tort	null
Give	Give
him	him
a	a
book	book
and	and
he	he
will	will
read	read
all	all
day	day
long	long
“Yea	Yes
that	that
he	he
will	will
I	exclaimed
”	null
replied	null
Mary	Mary
tauntingly	tauntingly
“	null
He	He
will	will
sit	sit
poring	poring
over	over
his	his
book	book
and	and
not	not
know	know
when	when
a	a
person	person
speak	speaks
to	to
him	him
or	or
when	when
one	one
drop	drops
one’s	ones
leieon	scissors
or	or
anything	anything
that	that
happens	happens
Do	Do
you	you
think	think
Lady	Lady
Ruuell	Russell
would	would
like	like
that	that
i	null
Lady	Lady
Russell	Russell
could	could
not	not
help	help
laughing	laughing
“	null
Upon	Upon
my	my
word	word
said	said
she	she
I	I
Ihould	should
not	not
have	have
suppoeed	supposed
that	that
my	my
opinion	opinion
of	of
any	any
one	one
could	could
have	have
admitted	admitted
of	of
nuch	such
differ—	difference
ence	null
of	of
conjecture	conjecture
needy	steady
and	and
matter	matter
of	of
fact	fact
at	as
I	I
may	may
r34	call
ensuasron	myself
call	I
mylelf	have
Ihave	really
reallya	a
ourioitytonee	curiosity
null	to
null	see
the	the
peraon	person
who	who
can	can
give	give
union	occasion
to	to
Inch	such
directly	directly
oppoaiu	opposite
notion	notions
l	I
with	wish
he	he
may	may
be	be
indncodlo	induced
all	to
null	call
here	here
And	And
when	when
he	he
does	does
Mary	Mary
you	you
may	may
depend	depend
null	upon
hearing	hearing
my	my
opinimu	opinion
hulamdeteminednotlojdehimbeforehand’	but
“	I
null	am
null	determined
null	not
null	to
null	judge
null	him
null	beforehand
You	You
will	will
not	not
like	like
Him	him
I	I
will	will
answer	answer
for	for
it	it
Lady	Lady
Ruell	Russell
began	began
talking	talking
of	of
something	something
clue	else
Mary	Mary
lpoke	spoke
with	with
animation	animation
of	of
their	their
meeting	meeting
with	with
or	or
rather	rather
midng	missing
Mr	Mr
Elliot	Elliot
Io	so
extraordinarily	extraordinarily
He	He
in	is
a	a
man	man
mid	said
Lady	Lady
Runell	Russell
“	null
whom	whom
I	I
have	have
no	no
wiah	wish
to	to
lee	see
Hie	His
declining	declining
to	to
he	be
on	on
cordial	cordial
term	terms
with	with
the	the
head	head
of	of
hie	his
Family	family
haa	has
left	left
a	a
very	very
mung	strong
irnpression	impression
in	in
hie	his
diafavonr	disfavour
with	with
me	me
This	This
deciaion	decision
checked	checked
Mag	Marys
eagernen	eagerness
and	and
named	stopped
her	her
lhort	short
in	in
the	the
midn	midst
of	of
the	the
lliot	Elliot
countenance	countenance
With	With
regard	regard
to	to
Captain	Captain
Wentworth	Wentworth
though	though
Anne	Anne
haurded	hazarded
no	no
enquirieo	enquiries
there	there
wu	was
voluntary	voluntary
communication	communication
tuflicient	sufficient
Hi	His
Apirite	spirits
had	had
been	been
greatly	greatly
recovering	recovering
lately	lately
I	as
might	might
be	be
expected	expected
A	As
Louisa	Louisa
improved	improved
he	he
had	had
improved	improved
and	and
he	he
wan	was
now	now
nite	quite
a	a
dlﬂerent	different
cream	creature
from	from
what	what
he	he
had	had
been	been
the	the
1	first
week	week
He	He
had	had
not	not
seen	seen
Louisa	Louisa
and	and
was	was
an	so
extremely	extremely
frful	fearful
of	of
any	any
ill	ill
consequence	consequence
to	to
her	her
from	from
an	an
interview	interview
that	that
he	he
did	did
not	not
pres	press
for	for
it	it
at	at
all	all
and	and
on	on
the	the
contrary	contrary
eeemed	seemed
to	to
have	have
a	a
plan	plan
of	of
going	going
away	away
for	for
a	a
week	week
or	or
ten	ten
days	days
till	till
her	her
head	head
was	was
stronger	stronger
He	He
had	had
talked	talked
of	of
gorng	going
down	down
to	to
Plymouth	Plymouth
fur	for
a	a
week	week
and	and
wanted	wanted
to	to
nude	persuade
Captain	Captain
Benwick	Benwick
to	to
go	go
with	with
him	him
but	but
an	as
harlet	Charles
maintained	maintained
to	to
the	the
Ian	last
