BOUT	About
dwuld	should
come	come
back	back
again	again
on	so
loan	soon
aﬂer	after
being	being
here	here
In	so
long	long
before	before
hill	full
newn	seven
weelu	weeks
for	for
I	I
had	had
undemood	understood
he	he
wu	was
Io	so
null	very
fond	fond
of	of
change	change
Ind	and
moving	moving
Ibout	about
that	that
I	I
thought	thought
Io	something
ing	null
would	would
certainly	certainly
occur	occur
when	when
he	he
wu	was
once	once
gone	gone
to	to
tIke	take
him	him
elIewhere	elsewhere
He	He
iI	is
uIed	used
to	to
much	much
gayer	gayer
placec	places
than	than
Maneﬁeld”	Mansfield
“It	It
iI	is
to	to
hie	his
credit	credit
wII	was
Edmund’c	Edmunds
Inlwer	answer
“and	and
I	I
dare	dare
In	say
it	it
giIeI	gives
his	his
ilk	sister
plenum	pleasure
She	She
doeI	does
not	not
like	like
hil	his
nnIe	unsettled
ed	null
habits	habits
“	What
WhIt	a
I	null
favourite	favourite
he	he
in	is
with	with
my	my
couninll	cousins
”	Yes
“Yet	his
hi	manners
mnnnen	to
«2	null
women	women
Ire	are
each	such
an	as
mun	must
pleue	please
Mr	Mrs
Grant	Grant
I	I
believe	believe
Inspect	suspects
him	him
of	of
I	a
preference	preference
for	for
JulithnveneveaIeenrnuch	Julia
tnmofitbntI	I
wiehit	have
mayheco	never
Hehu	seen
nofntllllln	much
twhatnoerioun	symptom
amchment	of
null	it
null	but
null	I
null	wish
null	it
null	may
null	be
null	so
null	He
null	has
null	no
null	faults
null	but
null	what
null	a
null	serious
null	attachment
would	would
remove	remove
If	If
Mi	Miss
Bemun	Bertram
were	were
not	not
en	engaged
aged”	null
said	said
Fanny	Fanny
clinically	cautiously
“I	I
could	could
sometime	sometimes
n	almost
moot	null
think	think
that	that
he	he
admired	admired
her	her
more	more
than	than
Julia	Julia
“	null
Which	Which
in	is
perhaps	perhaps
more	more
in	in
favour	favour
of	of
hiI	his
liking	liking
Julie	Julia
hen	best
than	than
you	you
Fanny	Fanny
my	may
be	be
aware	aware
for	for
I	I
believe	believe
it	it
often	often
hppengthnt	happens
I	that
null	a
man	man
before	before
he	he
hu	has
quite	quite
mIde	made
up	up
hiI	his
own	own
mind	mind
will	will
null	distinguish
the	the
litter	sister
or	or
intimte	intimate
friend	friend
of	of
the	the
womIn	woman
he	he
in	is
reell	really
thinking	thinking
of	of
more	more
thIn	than
the	the
woman	woman
heroelf	herself
anfo	Crawford
Inc	has
too	too
much	much
Ience	sense
to	to
my	stay
here	here
if	if
he	he
found	found
himeelf	himself
in	in
Iny	any
danger	danger
from	from
Mull	Maria
Ind	and
I	I
am	am
not	not
It	at
all	all
Ifraid	afraid
for	for
her	her
aﬁer	after
Inch	such
3	a
pmof	proof
u	as
Ihe	she
hu	has
given	given
thIt	that
her	her
feelinge	feelings
are	are
not	not
mung	strong
FInny	Fanny
luprpond	supposed
Ihe	she
rnlut	must
have	have
been	been
mimken	mistaken
and	and
menntto	meant
null	to
think	think
diﬁ‘erently	differently
in	in
funne	future
but	but
with	with
all	all
that	that
mblniuion	submission
tn	to
Edmund	Edmund
cauld	could
do	do
Ind	and
Ill	all
the	the
help	help
of	of
the	the
coinciding	coinciding
loch	looks
Ind	and
him	hints
which	which
the	she
occuionllly	occasionally
noticed	noticed
l	in
2	some
3	of
IANSIIILD	the
PARK	others
in	and
home	which
of	seemed
the	to
Mend	say
whieh	that
Ieetned	Julia
toIIythIt	was
Julie	null
wII	null
Mr	Mr
anfonl’l	Crawfords
choice	choice
Ihe	she
knew	knew
not	not
alwaywhat	always
null	what
to	to
think	think
She	She
was	was
yrivy	privy
one	one
evening	evening
to	to
the	the
hopeeofhenunt	hopes
Norrie	of
null	her
null	aunt
null	Norris
on	on
the	the
Inhjecguwell	subject
u	as
null	well
null	as
to	to
her	her
feelings	feelings
Ind	and
the	the
feelingl	feelings
of	of
Mn	Mrs
Ruehworth	Rushworth
on	on
I	a
Point	point
of	of
Iorne	some
IimilarityIndcmdd	similarity
null	and
null	could
not	not
hel	help
wonderingu	wondering
Ihelinened	as
IMghdwwldIhethe	she
nottohe	listened
ohligedto	and
lietenfor	glad
itwuwhile	would
null	she
null	have
null	been
null	not
null	to
null	be
null	obliged
null	to
null	listen
null	for
null	it
null	was
null	while
all	all
the	the
other	other
oung	young
people	people
were	were
dancing	dancing
and	and
Ihe	she
ﬁtting	sitting
molt	most
unwilﬂngly	unwillingly
among	among
the	the
ch	chaperons
roru	at
It	null
the	the
ﬁre	fire
longin	longing
for	for
the	the
reeotrInce	reentrance
of	of
her	her
elder	elder
«min	cousin
on	on
whom	whom
ll	all
her	her
mum	own
null	hopes
of	of
I	a
pIrmer	partner
then	then
depended	depended
It	It
wee	was
FInny’I	Fannys
ﬁnt	first
hall	ball
though	though
without	without
the	the
marina	preparation
or	or
gladonr	splendour
of	of
many	many
I	a
g	young
ledya	ladys
lint	first
hull	ball
being	being
the	the
than	thought
ht	null
only	only
of	of
the	the
moon	afternoon
built	built
on	on
the	the
hte	late
acquieiuon	acquisition
I	of
null	a
violin	violin
pl	player
r	null
in	in
the	the
Iervante	servants
hall	hall
Ind	and
the	the
Gponhilit	possibility
of	of
railing	raising
ve	five
couple	couple
with	with
the	the
help	help
of	of
Mn	Mrs
ran	Grant
I	and
I	a
new	new
innnme	intimate
friend	friend
of	of
Mr	Mr
Bertiain’t	Bertrams
qut	just
arrived	arrived
on	on
I	a
viIit	visit
It	It
had	had
however	however
been	been
I	a
very	very
haypy	happy
one	one
to	to
Fanny	Fanny
through	through
fmr	four
dInceI	dances
and	and
the	she
wan	was
quite	quite
rieved	grieved
to	to
be	be
losing	losing
even	even
I	a
qmrter	quarter
of	of
en	an
hour	hour
hile	While
wIiting	waiting
Ind	and
wiIhing	wishing
looking	looking
now	now
at	at
the	the
dancer	dancers
Ind	and
now	now
It	at
the	the
door	door
thiI	this
dinlogue	dialogue
between	between
the	the
two	two
abovementioned	abovementioned
lIdieI	ladies
wu	was
forced	forced
on	on
her—	her
“	I
I	think
think	maam
nu’un”	said
IIid	Mrs
Mn	Norris
NoniI—her	her
eye	eyes
directed	directed
toerdI	towards
Mr	Mr
RnIhworth	Rushworth
and	and
MIriA	Maria
who	who
were	were
Ennm	partners
for	for
the	the
Ieeond	second
time	time
“we	we
IhIlI	shall
Iee	see
Iome	some
fuel	happy
a	faces
in	again
now	now
“	Yes
es	maam
the	null
Irn	null
indeed	indeed
replied	replied
the	the
other	other
with	with
I	a
mter	stately
Iinrper	simper
“there	there
will	will
he	be
Iorne	some
Iatiefaction	satisfaction
in	in
looking	looking
on	on
w	now
Ind	and
I	I
think	think
it	it
we	was
rather	rather
I	a
pity	pity
they	they
Ihorddhnvehemobligedtopurt	should
Yoongfolhintheir	have
titration	been
null	obliged
null	to
null	part
null	Young
null	folks
null	in
null	their
null	situation
should	should
he	be
exerted	excused
complying	complying
with	with
the	the
comma	common
formI	forms
Iwondern	I
Iondidnotpropoeeit”	wonder
“I	my
dareny	son
hedi	did
nuun	not
null	propose
null	it
null	I
null	dare
null	say
null	he
null	did
null	maam
Mr	Mr
RIIIhworthiInever	Rushworth
mniII	is
ButdeIrMIrinhIItchanrictlemeofyro	never
MANSFIELD	remiss
PARK	But
I	dear
I3	Maria
priety	has
no	such
null	a
null	strict
null	sense
null	of
null	propriety
null	so
much	much
of	of
the	that
true	true
delicacy	delicacy
which	which
one	one
Ieldom	seldom
meet	meets
with	with
noweda	nowadays
Mn	Mrs
Rmhworth—Ahat	Rushworththat
wiah	wish
of	of
avoidingrrticulnrity	avoiding
Deer	particularity
mlrn	Dear
null	maam
only	only
look	look
at	at
her	her
flee	face
u	at
in	this
moment	moment
how	how
different	different
from	from
whet	what
it	it
we	was
the	the
two	two
lut	last
dancel	dances
MEIBertrundid	Miss
indeedlook	Bertram
haypyﬂwr	did
eyeewere	indeed
vpnrkling	look
null	happy
null	her
null	eyes
null	were
null	sparkling
with	with
plenum	pleasure
end	and
she	she
wu	was
speaking	speaking
with	with
t	great
fondle	animation
null	for
null	Julia
and	and
her	her
I	partner
renewer	Mr
Crew	Crawford
were	were
new	close
null	to
null	her
null	they
were	were
inn	all
unerwgeeher	in
null	a
null	cluster
null	together
How	How
line	she
had	had
lookedmeore	looked
null	before
Fanny	Fanny
could	could
not	not
recollect	recollect
for	for
the	she
had	had
been	been
dancing	dancing
with	with
Edmund	Edmund
hereell	herself
nndhad	and
null	had
not	not
thought	thought
Ihont	about
her	her
Mn	Mrs
Norrie	Norris
continued	continued
“	It
It	is
in	quite
quite	delightful
delightﬁll	maam
mn’em	to
some	see
young	young
people	people
no	so
1	properly
rlyhl	happy
yeowell	so
mined	well
null	suited
and	and
on	so
much	much
the	the
thing	thing
null	I
cannot	cannot
t	but
think	think
of	of
deer	dear
Sir	Sir
Thmnu’a	Thomass
delight	delight
And	And
what	what
do	do
you	you
say	say
m’un	maam
to	to
the	the
chance	chance
of	of
“other	another
match	match
2	null
Mr	Mr
Rulhworth	Rushworth
he	has
let	set
a	a
good	good
exemple	example
and	and
Inch	such
thingl	things
are	are
ve	very
catching	catching
Mn	Mrs
Rulhworth	Rushworth
who	who
saw	saw
nothing	nothing
but	but
r	her
Ion	son
wu	was
quite	quite
at	at
a	a
lone	loss
“	null
The	The
couple	couple
nbove	above
m’am	maam
Do	Do
you	you
lee	see
no	no
eymptoml	symptoms
then	there
i	null
”	null
v	null
“	null
Oh	Oh
dear	dear
Mi	Miss
Julin	Julia
end	and
Mr	Mr
meford	Crawford
Yeindeed	Yes
I	indeed
null	a
very	very
preuy	pretty
match	match
What	What
in	is
hit	his
property	property
2	Four
“	thousand
Four	a
thouand	year
nyenr	Very
“Very	null
well	well
Thoee	Those
who	who
have	have
not	not
more	more
mun	must
he	be
“tidied	satisfied
with	with
what	what
they	they
hive	have
Four	Four
thouInd	thousand
a	a
year	year
in	is
n	a
preto	pretty
ante	estate
and	and
he	he
ml	seems
null	a
very	very
genteel	genteel
y	steady
young	young
men	man
lo	so
I	I
hope	hope
Mi	Miss
Julia	Julia
will	will
he	be
very	very
happy	happy
“It	It
in	is
not	not
a	a
needed	settled
thin	thing
mn’am	maam
yet	yet
We	We
only	only
Ipelk	speak
ofit	of
null	it
among	among
friends	friends
null	But
I	I
have	have
very	very
linle	little
doubt	doubt
it	it
«win	will
5	be
He	He
in	is
growing	growing
extremely	extremely
particular	particular
in	in
hit	his
mention	attentions
Fanny	Fanny
could	could
lithen	listen
no	no
farther	farther
Liueening	Listening
and	and
wondering	wondering
were	were
all	all
nupended	suspended
for	for
I	a
time	time
for	for
Mr	Mr
Ber	Bertram
Inn	was
W	in
In	null
the	the
room	room
again	again
and	and
though	though
feeling	feeling
it	it
would	would
hen	be
greet	a
honourto	great
he	honour
uked	to
null	be
null	asked
by	by
him	him
Ihe	she
thought	thought
it	it
L	must
l	happen
l	He
24	came
MANSFIELD	towards
PARK	their
muatha	little
Hecametowardatheirlittlecircleghut	circle
indeed	but
o	instead
aching	of
null	asking
her	her
to	to
dance	dance
drew	drew
a	a
chair	chair
near	near
her	her
and	and
gave	gave
her	her
an	an
account	account
of	of
the	the
present	present
name	state
of	of
l	a
Iiclt	sick
hone	horse
and	and
the	the
opinion	opinion
of	of
the	the
groom	groom
frnm	from
whom	whom
he	he
had	had
jumpmed	just
Fannyfoundthatitwunottobeandin	parted
themodenyofhermmimmediatel	Fanny
felnhatehehad	found
null	that
null	it
null	was
null	not
null	to
null	be
null	and
null	in
null	the
null	modesty
null	of
null	her
null	nature
null	immediately
null	felt
null	that
null	she
null	had
been	been
unreoennahle	unreasonable
in	in
expecting	expecting
it	it
hen	When
he	he
had	had
told	told
ofhin	of
hone	his
null	horse
he	he
took	took
a	a
newapaper	newspaper
from	from
the	the
table	table
and	and
looking	looking
over	over
it	it
laid	said
in	in
u	a
languid	languid
way	way
“	null
If	If
you	you
want	want
to	to
dance	dance
Fanny	Fanny
I	I
will	will
and	stand
up	up
with	with
u	you
With	With
more	more
than	than
equal	equal
civility	civility
the	the
offer	offer
was	was
d	declined
ined	she
ahe	null
did	did
not	not
will	wish
to	to
dance	dance
“	null
I	I
am	am
glad	glad
of	of
it	it
Did	said
he	he
in	in
a	a
much	much
brieker	brisker
tone	tone
and	and
throwing	throwing
down	down
the	the
new	newspaper
per	again
again	for
“for	I
null	am
null	tired
null	to
null	death
I	I
arntiredtodeath	only
Ionlywo	wonder
erhowthc	how
cod	the
ecanlteesitupeolong	good
Theyludneed	people
null	can
null	keep
null	it
null	up
null	so
null	long
null	They
null	had
null	need
null	be
all	all
in	in
we	love
to	to
ﬁn	find
any	any
amueement	amusement
in	in
such	such
folly	folly
and	and
I0	so
they	they
urc	are
I	I
fancy	fancy
f	If
you	you
look	look
at	at
them	them
on	you
may	may
ace	see
tiara	they
rm	are
to	so
mnn	many
couple	couple
of	of
loven—all	loversall
hut	but
ate	Yates
and	and
Mn	Mrs
rant—and	Grantand
een	between
onnelvee	ourselves
the	she
poor	poor
woman	woman
must	must
want	want
a	a
lover	lover
at	as
much	much
at	as
any	any
one	one
of	of
them	them
A	A
desperate	desperate
dull	dull
life	life
hera	hers
rmut	must
be	be
with	with
the	the
doctor	doctor
making	making
a	a
aly	sly
face	face
as	as
he	he
spoke	spoke
towardl	towards
the	the
chair	chair
of	of
the	the
latter	latter
who	who
proving	proving
however	however
m	to
be	be
close	close
at	at
llll	his
elbow	elbow
to	made
imntaneonl	so
null	instantaneous
a	a
change	change
ofexpreasion	of
null	expression
and	and
subject	subject
neceeaary	necessary
al	as
Fanny	Fanny
in	in
lpite	spite
of	of
everything	everything
could	could
hardly	hardly
help	help
laughing	laughing
at	at
“	null
A	A
mange	strange
bueineu	business
thia	this
in	in
America	America
Dr	Dr
Grant	Grant
Whatil	What
null	is
your	your
opinion	opinion
I	I
alwaya	always
oometo	come
null	to
you	you
to	to
know	know
what	what
I	I
am	am
to	to
think	think
of	of
public	public
mam	matters
“My	My
dear	dear
Tom”	Tom
cried	cried
hie	his
aunt	aunt
noon	soon
aftenuardn	afterwards
“	as
at	null
you	you
are	are
not	not
dancing	dancing
I	I
due	dare
any	say
on	you
will	will
have	have
no	no
objection	objection
to	to
join	join
us	us
in	in
a	a
rubber	rubber
shall	shall
you	you
Then	Then
leaving	leaving
her	her
seat	seat
and	and
coming	coming
to	to
him	him
to	to
enforce	enforce
the	the
pro	proposal
added	added
in	in
n	a
whiaper	whisper
“	null
We	We
want	want
to	to
make	make
I	a
table	table
r	for
Mn	Mrs
Rnahwonh	Rushworth
you	you
know	know
You	Your
mother	mother
in	is
quite	quite
anxioue	anxious
about	about
it	it
but	but
cannot	cannot
very	very
well	well
epare	spare
time	time
to	to
lit	sit
down	down
hemlf	herself
becauae	because
of	of
her	her
fringe	fringe
Now	Now
you	you
and	and
I	I
HANSan	null
PARK	null
1	null
25	null
and	and
Dr	Dr
Grant	Grant
will	will
null	just
do	do
and	and
though	though
we	we
play	play
but	but
affront	halfcrowns
you	you
know	know
you	you
my	may
bet	bet
hnlfguineu	halfguineas
with	with
“	him
I	I
rhould	should
be	be
met	most
hagpy	happy
replied	replied
he	he
aloud	aloud
Ind	and
jumping	jumping
up	up
with	with
lnerity	alacrity
“	null
it	it
would	would
give	give
me	me
the	the
greatest	greatest
pleasure	pleasure
but	but
thnt	that
I	I
Irn	am
thit	this
moment	moment
goin	going
to	to
dance	dance
Come	Come
Fanny”	Fanny
taking	taking
her	her
hand	hand
“	do
do	not
not	be
dtwdling	dawdling
any	any
longer	longer
or	or
the	the
dance	dance
will	will
be	be
over	over
Funny	Fanny
wu	was
led	led
off	off
very	very
willingly	willingly
though	though
it	it
wen	was
impoeible	impossible
for	for
her	her
to	to
feel	feel
much	much
grutitude	gratitude
townrdt	towards
her	her
cousin	cousin
or	or
dietinguieh	distinguish
a	as
he	he
certainly	certainly
did	did
between	between
the	the
oelﬁthneu	selfishness
of	of
mother	another
person	person
and	and
ill	his
own	own
“A	A
pretty	pretty
modest	modest
request	request
u	upon
n	my
mywo	word
”	null
he	he
indignantly	indignantly
exclaimed	exclaimed
a	as
they	they
wlltoed	walked
away	away
“To	To
want	want
to	to
nail	nail
me	me
to	to
I	a
card	cardtable
table	null
for	for
the	the
next	next
two	two
hour	hours
with	with
henelf	herself
and	and
Dr	Dr
Grant	Grant
who	who
are	are
alwaye	always
quarrellin	quarrelling
and	and
that	that
pokin	poking
old	old
woman	woman
who	who
know	knows
no	no
more	more
D	of
whth	whist
than	than
oflgebn	of
Iwinhmygoodnuntwmrldbe	algebra
null	I
null	wish
null	my
null	good
null	aunt
null	would
null	be
null	a
little	little
lea	less
buy	busy
And	And
tonk	to
null	ask
me	me
in	in
tuch	such
wnytool	a
null	way
null	too
without	without
neremon	ceremony
before	before
them	them
Ill	all
to	so
u	as
to	to
lelve	leave
me	me
no	no
pouihility	possibility
of	of
wing	refusing
TM	That
in	is
what	what
I	I
dinlike	dislike
molt	most
particularly	particularly
It	It
mite	raises
my	my
Ipleen	spleen
more	more
than	than
anything	anything
to	to
hurt	have
the	the
pretence	pretence
of	of
being	being
naked	asked
of	of
being	being
given	given
It	a
choice	choice
and	and
at	at
the	the
tame	same
time	time
nddmncd	addressed
in	in
Inch	such
5	a
way	way
at	as
to	to
oblige	oblige
one	one
to	to
do	do
the	the
very	very
thing	thing
whatever	whatever
it	it
bel	be
If	If
I	I
had	had
not	not
luckily	luckily
thought	thought
of	of
mnding	standing
up	up
with	with
you	you
I	I
could	could
not	not
have	have
got	got
out	out
of	of
it	it
It	It
il	is
a	a
great	great
denl	deal
too	too
bad	bad
But	But
when	when
my	my
aunt	aunt
he	has
got	got
u	a
funcy	fancy
in	in
her	her
head	head
nothing	nothing
cun	can
Imp	stop
her	her
26	CHAPTER
musnun	XIII
PARK	The
t	Honourable
Chins	null
5333	null
‘	null
HE	null
Honourbl	null
John	John
Yates	Yates
this	this
new	new
friend	friend
hsd	had
not	not
much	much
to	to
recommend	recommend
him	him
beyond	beyond
habits	habits
of	of
fuhion	fashion
snd	and
ex	expense
se	null
and	and
being	being
the	the
younger	younger
son	son
of	of
s	a
lord	lord
with	with
a	a
socrshle	tolerable
independence	independence
and	and
Sir	Sir
Thomss	Thomas
would	would
prohshly	probably
have	have
thought	thought
his	his
introduction	introduction
at	at
Mansﬁeld	Mansfield
by	by
no	no
means	means
desirsble	desirable
Mr	Mr
Bemm’s	Bertrams
lequsintsnce	acquaintance
with	with
him	him
hsd	had
begun	begun
st	at
Weymooth	Weymouth
where	where
dvhsd	they
null	had
spent	spent
oen	ten
daze	days
together	together
inthe	in
null	the
same	same
society	society
so	and
the	the
friendship	friendship
if	if
riendshi	friendship
it	it
might	might
he	be
called	called
hsd	had
been	been
proved	proved
Ind	and
perfected	perfected
by	by
4	Mr
Ystes’s	Yatess
being	being
invited	invited
to	to
nke	take
Mansﬁeld	Mansfield
in	in
his	his
way	way
whenever	whenever
he	he
could	could
Ind	and
by	by
his	his
romising	promising
to	to
come	come
and	and
he	he
did	did
come	come
rather	rather
earlier	earlier
than	than
had	had
been	been
expected	expected
in	in
con	consequence
uenceof	of
the	the
sudden	sudden
hrcaki	breakingup
up	null
of	of
a	a
large	large
part	party
sssemb	assembled
ed	null
for	for
icty	gaiety
at	at
the	the
house	house
a	of
number	another
friend	friend
which	which
he	he
had	had
left	left
eymouth	Weymouth
to	to
join	join
He	He
came	came
on	on
the	the
wings	wings
of	of
din	disappointment
ntment	null
and	and
with	with
his	his
hesd	head
full	full
of	of
acting	acting
for	for
it	it
had	had
null	been
a	a
thestricsl	theatrical
party	party
snd	and
the	the
play	play
in	in
which	which
he	he
had	had
home	borne
a	a
part	part
was	was
within	within
two	two
days	days
of	of
representation	representation
when	when
the	the
sudden	sudden
death	death
of	of
one	one
of	of
the	the
nearest	nearest
connections	connexions
of	of
the	the
funily	family
had	had
destroyed	destroyed
the	the
scheme	scheme
and	and
dispersed	dispersed
the	the
performers	performers
To	To
he	be
so	so
neu	near
hsppiness	happiness
so	so
near	near
fame	fame
so	so
nesr	near
the	the
Ian	long
pangnph	paragraph
in	in
praise	praise
of	of
the	the
prince	private
thanicals	theatricals
st	at
Eccfesford	Ecclesford
the	the
seas	seat
of	of
the	the
Right	Right
Hon	Hon
Lord	Lord
Rsvenshaw	Ravenshaw
in	in
Cornwsll	Cornwall
which	which
would	would
of	of
course	course
hsve	have
immortalized	immortalised
the	the
whole	whole
party	party
for	for
at	at
least	least
I	a
twelvernonthl	twelvemonth
and	and
being	being
so	so
near	near
to	to
lose	lose
it	it
all	all
was	was
In	an
inury	injury
to	to
be	be
keenly	keenly
felt	felt
and	and
Mr	Mr
Yates	Yates
could	could
talk	talk
of	of
ng	nothing
else	else
Ecclesford	Ecclesford
sud	and
its	its
theatre	theatre
with	with
in	its
arrangements	arrangements
and	and
dresses	dresses
rehearsals	rehearsals
and	and
jokes	jokes
was	was
his	his
neverfailing	neverfailing
snhect	subject
and	and
to	to
boast	boast
of	of
the	the
past	past
his	his
only	only
consolation	consolation
appin	Happily
for	for
him	him
s	a
love	love
of	of
the	the
theatre	theatre
is	is
so	so
general	general
an	an
itch	itch
for	for
acting	acting
so	so
strong	strong
among	among
young	young
people	people
that	that
he	he
HANSHELD	null
PARK	null
1	null
27	null
could	could
herdly	hardly
outtalk	outtalk
the	the
interest	interest
of	of
bin	his
harem	hearers
From	From
the	the
ﬁn	first
canng	casting
of	of
the	the
pane	parts
to	to
the	the
epilogue	epilogue
it	it
wu	was
Ill	all
bewiwhing	bewitching
end	and
there	there
were	were
few	few
who	who
did	did
not	not
with	wish
to	to
have	have
been	been
I	a
puny	party
concerned	concerned
or	or
would	would
have	have
hedtated	hesitated
to	to
null	try
their	their
ekill	skill
The	The
plly	play
had	had
been	been
Loverl’	Lovers
Vowe	Vows
end	and
rYxteewu	Mr
null	Yates
null	was
to	to
lave	have
been	been
Count	Count
Case	Cassel
A	A
part”	trifling
laid	part
null	said
he	he
end	and
not	not
It	at
all	all
to	to
my	my
mete	taste
nnd	and
Inch	such
a	a
one	one
u	as
I	I
certainly	certainly
would	would
not	not
Iccept	accept
Igein	again
but	but
I	I
we	was
determined	determined
to	to
make	make
no	no
difﬁculties	difficulties
Lord	Lord
Revenehew	Ravenshaw
end	and
the	the
duke	duke
hnd	had
titted	appropriated
the	the
only	only
two	two
character	characters
worth	worth
plgng	playing
hem	before
null	I
reached	reached
Eccleeford	Ecclesford
end	and
though	though
Lord	Lord
venlhnw	Ravenshaw
offered	offered
to	to
relign	resign
hit	his
to	to
me	me
it	it
was	was
impoeihle	impossible
to	to
take	take
it	it
you	you
know	know
I	I
we	was
Iorry	sorry
for	for
bin	him
that	that
he	he
Ihould	should
have	have
no	so
mimlten	mistaken
hil	his
wen	powers
for	for
hewu	he
null	was
no	no
more	more
equal	equal
to	to
the	the
Baron—a	Barona
ittle	little
man	man
with	with
a	a
week	weak
voice	voice
llwlyl	always
hoaree	hoarse
diet	after
the	the
Gut	first
ten	ten
minntee	minutes
It	It
must	must
hue	have
injured	injured
the	the
ieoe	piece
materially	materially
but	but
Iwn	I
reeolved	was
to	resolved
nuke	to
no	make
diili	no
ties	difficulties
Sir	Sir
Henry	Henry
thought	thought
the	the
duke	duke
not	not
equal	equal
to	to
Frederick	Frederick
but	but
that	that
wu	was
became	because
Sir	Sir
Henry	Henry
wanted	wanted
the	the
part	part
himeelf	himself
wherein	whereas
it	it
val	was
certainly	certainly
in	in
the	the
but	best
hande	hands
of	of
the	the
two	two
I	I
won	was
lurprined	surprised
to	to
Ice	see
Sir	Sir
Henry	Henry
Iuch	such
a	a
nick	stick
Luckily	Luckily
the	the
ttrength	strength
of	of
the	the
piece	piece
did	did
not	not
depend	depend
upon	upon
him	him
Our	Our
Aglthn	Agatha
wu	was
inimitable	inimitable
and	and
the	the
duke	duke
W8	was
thou	thought
ht	null
very	very
greet	great
by	by
many	many
And	And
ﬁn	upon
the	the
whole	whole
it	it
wou	would
d	certainly
certainl	have
have	gone
gone	off
of	wonderfully
wonde	It
y	was
“Itqu	a
ard	hard
cue	case
upon	upon
mywon‘lg”	my
und“do	word
null	and
null	I
null	do
think	think
you	you
null	were
very	very
much	much
to	to
be	be
pitied	pitied
were	were
the	the
kind	kind
relponlelo	responses
iuenin	of
“Itinnotworthggg’ming	listening
null	sympathy
null	It
null	is
null	not
null	worth
null	complaining
about	about
but	but
tobelure	to
null	be
null	sure
the	the
poor	poor
old	old
dowlger	dowager
could	could
not	not
have	have
died	died
at	at
a	a
were	worse
time	time
and	and
it	it
it	is
impoeeible	impossible
to	to
help	help
withing	wishing
tlut	that
the	the
newe	news
could	could
have	have
been	been
preeeed	suppressed
for	for
null	just
the	the
three	three
day	days
we	we
wanted	wanted
It	It
wan	was
t	but
three	three
day”	days
and	and
being	being
only	only
I	a
dmother	grandmother
and	and
ell	all
happening	happening
two	two
hundred	hundred
mile	miles
of	off
null	I
think	think
there	there
would	would
have	have
been	been
no	no
great	great
harm	harm
end	and
it	it
rah	was
mursnnu	suggested
PARK	null
w	null
auggened	null
I	I
know	know
but	but
Lord	Lord
Ravenahaw	Ravenshaw
who	who
I	I
aupyoae	suppose
ia	is
one	one
of	of
the	the
m	most
correct	correct
men	men
in	in
England	England
would	would
not	not
hear	hear
of	of
it”	it
l	null
An	An
afterpiece	afterpiece
innead	instead
of	of
a	a
comedy”	comedy
laid	said
Mr	Mr
Bertram	Bertram
“	Lovers
Lovera’	Vows
Vow	null
were	were
at	at
an	an
end	end
and	and
Lord	Lord
and	and
Lady	Lady
Ravenahaw	Ravenshaw
left	left
to	to
act	act
My	My
Grandmother	Grandmother
I	by
themaelvea	themselves
Well	Well
th	the
null	jointure
may	may
comfort	comfort
bin	him
an	and
perhaps	perhaps
between	between
H	friends
he	he
began	began
to	to
tremble	tremble
for	for
hia	his
credit	credit
and	and
his	his
lung	lungs
in	in
the	the
Baron	Baron
and	and
waa	was
not	not
aorry	sorry
to	to
withdraw	withdraw
and	and
to	to
make	make
you	you
amenda	amends
Yatee	Yates
I	I
think	think
we	we
mutt	must
nine	raise
a	a
little	little
theatre	theatre
at	at
Mansﬁeld	Mansfield
and	and
Ink	ask
you	you
to	to
be	be
our	our
manager	manager
Thin	This
though	though
the	the
thought	thought
of	of
the	the
moment	moment
did	did
not	not
end	end
with	with
the	the
moment	moment
for	for
the	the
inclination	inclination
to	to
tct	act
waa	was
awakened	awakened
and	and
in	in
no	no
one	one
more	more
atrongly	strongly
than	than
in	in
him	him
who	who
war	was
now	now
meter	master
of	of
the	the
houaeg	house
and	and
who	who
having	having
to	so
much	much
leinrre	leisure
u	as
to	to
make	make
almost	almost
any	any
novelty	novelty
a	a
certain	certain
good	good
had	had
likewiae	likewise
auch	such
a	a
degree	degree
0	of
lively	lively
talenta	talents
and	and
comic	comic
tane	taste
ea	as
were	were
exactly	exactly
adapted	adapted
to	to
the	the
novelty	novelty
of	of
acting	acting
The	The
thought	thought
returned	returned
again	again
and	and
again	again
Oh	Oh
for	for
the	the
Eccleaford	Ecclesford
theatre	theatre
and	and
Icenery	scenery
to	to
try	try
aornethin	something
withl	with
Each	Each
litter	sister
could	could
echo	echo
the‘wiah	the
null	wish
and	and
Henry	Henry
nwfond	Crawford
to	to
whom	whom
in	in
all	all
the	the
riot	riot
of	of
hi	his
gratiﬁcation	gratifications
it	it
waa	was
yet	yet
an	an
untamed	untasted
pleature	pleasure
waa	was
quite	quite
alive	alive
at	at
the	the
idea	idea
“I	I
really	really
believe”	believe
aaid	said
he	he
“I	I
could	could
he	be
fool	fool
enough	enough
u	at
lhil	this
moment	moment
to	to
undertake	undertake
an	any
character	character
that	that
ever	ever
war	was
written	written
from	from
Sh	Shylock
lock	null
or	or
Richard	Richard
III	III
down	down
to	to
the	the
ain	singing
ing	null
hero	hero
of	of
a	a
rce	farce
in	in
